method1,method2,method_score1,method_score2,space_size1,space_size2,space_score1,space_score2
"org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(FileInputStream, OutputStream)",org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(OutputStream),4.4487300461581003e-07,1.3438966186318514e-05,26,,1.1255629963858066e-05,
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(File, String, InputStream, String, MemoryUsageSetting)",1.9737849712800133e-18,0.0001479231338398546,3,9,3.334874670431781e-05,0.0002292421623890604
"org.apache.pdfbox.cos.COSStream.COSStream(COSDictionary, RandomAccess)",org.apache.pdfbox.cos.COSStream.COSStream(),6.670322766963457e-07,2.3943763451872926e-05,8,5,9.666694137208042e-06,2.1034027574723397e-05
"org.apache.pdfbox.cos.COSStream.COSStream(COSDictionary, RandomAccess)",org.apache.pdfbox.cos.COSStream.COSStream(ScratchFile),6.670322766963457e-07,9.717852601037588e-07,8,52,9.666694137208042e-06,0.0001368469421135894
org.apache.pdfbox.cos.COSDocument.COSDocument(),org.apache.pdfbox.cos.COSDocument.COSDocument(),2.4214168381481064e-06,1.4168645122694211e-05,,3,,3.261295237818665e-05
org.apache.pdfbox.pdfparser.PDFParser.PDFParser(InputStream),"org.apache.pdfbox.pdfparser.PDFParser.PDFParser(RandomAccessRead, String)",4.577826333084602e-09,2.1587488030616483e-12,,,,
org.apache.pdfbox.pdfparser.PDFParser.PDFParser(InputStream),org.apache.pdfbox.pdfparser.PDFParser.PDFParser(RandomAccessRead),4.577826333084602e-09,8.636841016537614e-08,,,,
org.apache.pdfbox.pdfparser.PDFParser.PDFParser(InputStream),"org.apache.pdfbox.pdfparser.PDFParser.PDFParser(RandomAccessRead, String, InputStream, String)",4.577826333084602e-09,3.321888731786392e-12,,,,
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(File, String)",1.9737849712800133e-18,7.099902697757146e-05,3,6,3.334874670431781e-05,2.4756452504575376e-05
org.apache.pdfbox.pdmodel.PDDocument.PDDocument(COSDocument),org.apache.pdfbox.pdmodel.PDDocument.PDDocument(MemoryUsageSetting),3.4065573414575255e-08,2.3459343337264096e-05,,172,,5.7110844576370476e-05
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(byte[], String, InputStream, String)",1.9737849712800133e-18,1.387652697056311e-08,3,,3.334874670431781e-05,
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(File, String, InputStream, String)",1.9737849712800133e-18,4.739111096410559e-09,3,,3.334874670431781e-05,
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(InputStream, String)",1.9737849712800133e-18,3.731376841010132e-06,3,,3.334874670431781e-05,
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(InputStream, String, InputStream, String)",1.9737849712800133e-18,7.175361980445316e-10,3,,3.334874670431781e-05,
org.apache.pdfbox.pdmodel.PDDocument.load(File),org.apache.pdfbox.pdmodel.PDDocument.load(File),1.425336416500225e-05,0.00011958451070048338,3,4,3.334874670431781e-05,3.424633114948751e-05
org.apache.pdfbox.pdmodel.PDDocument.load(InputStream),org.apache.pdfbox.pdmodel.PDDocument.load(InputStream),8.57928759479492e-05,1.7653049102720644e-05,4,,3.800276111891314e-05,
"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)","org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)",5.793257801371425e-09,4.7376626197648523e-07,,4,,9.262428056677849e-06
org.apache.pdfbox.pdmodel.PDDocument.PDDocument(),org.apache.pdfbox.pdmodel.PDDocument.PDDocument(),1.7812238508918905e-05,1.564191129183923e-05,229,5,0.0002029757330678087,1.4149222795690569e-05
org.apache.pdfbox.pdmodel.PDResources.getProperties(),org.apache.pdfbox.pdmodel.PDResources.getProperties(COSName),5.567142927486353e-10,1.3531308636481053e-11,31,,3.8934351853871355e-06,
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.getField(String),org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.getField(String),2.6553902904336603e-09,9.616861524540867e-07,,7,,1.7369301998698662e-07
org.apache.pdfbox.cos.COSStream.getUnfilteredStream(),org.apache.pdfbox.cos.COSStream.getUnfilteredStream(),1.9919974601431185e-05,1.4251361160264486e-12,,24,,0.00029307115401953156
org.apache.pdfbox.cos.COSStream.getFilteredStream(),org.apache.pdfbox.cos.COSStream.getFilteredStream(),1.6854408658670838e-06,1.3585073855891879e-12,,9,,0.0002744779963280295
org.apache.pdfbox.examples.pdmodel.PrintDocumentMetaData.printMetadata(PDDocument),org.apache.pdfbox.examples.pdmodel.PrintDocumentMetaData.printMetadata(PDDocument),1.5421283515532342e-15,2.1117872478489204e-11,,,,
org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[]),org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[]),5.776614450306634e-09,5.177115760344873e-07,,3,,4.195913355086321e-05
org.apache.pdfbox.cos.COSDocument.createCOSStream(COSDictionary),org.apache.pdfbox.cos.COSDocument.createCOSStream(COSDictionary),1.8886439625959662e-09,1.9393760755944936e-06,5,83,1.5082440441049018e-05,9.037870255256384e-05
org.apache.pdfbox.cos.COSStream.getFilteredStream(),org.apache.pdfbox.cos.COSStream.getFilteredStream(),1.6854408658670838e-06,1.3585073855891879e-12,,9,,0.0002744779963280295
"org.apache.pdfbox.cos.COSStream.COSStream(COSDictionary, RandomAccess)",org.apache.pdfbox.cos.COSStream.COSStream(ScratchFile),6.670322766963457e-07,9.717852601037588e-07,8,52,9.666694137208042e-06,0.0001368469421135894
org.apache.pdfbox.cos.COSStream.getUnfilteredStream(),org.apache.pdfbox.cos.COSStream.getUnfilteredStream(),1.9919974601431185e-05,1.4251361160264486e-12,,24,,0.00029307115401953156
org.apache.pdfbox.cos.COSStream.close(),org.apache.pdfbox.cos.COSStream.close(),1.4789578355065402e-07,2.2592739108667847e-07,10,4,7.782065944924798e-06,1.6306422344952477e-06
org.apache.pdfbox.cos.COSStream.setFilters(COSBase),org.apache.pdfbox.cos.COSStream.setFilters(COSBase),6.7925113316436055e-09,2.3879365742111824e-13,80,,0.0005643030291385138,
org.apache.pdfbox.cos.COSStream.createFilteredStream(),org.apache.pdfbox.cos.COSStream.createFilteredStream(),1.1986123903025804e-08,1.8166289398930574e-12,8,7,4.879332531456072e-06,0.00035966952439830133
"org.apache.pdfbox.cos.COSStream.COSStream(COSDictionary, RandomAccess)",org.apache.pdfbox.cos.COSStream.COSStream(),6.670322766963457e-07,2.3943763451872926e-05,8,5,9.666694137208042e-06,2.1034027574723397e-05
org.apache.pdfbox.cos.COSStream.createUnfilteredStream(),org.apache.pdfbox.cos.COSStream.createUnfilteredStream(),1.2645665127004372e-07,4.25030019963167e-12,8,,4.879332531456072e-06,
org.apache.pdfbox.io.RandomAccessFile.close(),org.apache.pdfbox.io.RandomAccessFile.close(),1.4949321165380048e-20,4.436766935473561e-11,2,,1.9392999598799672e-05,
org.apache.pdfbox.io.RandomAccessFile.length(),org.apache.pdfbox.io.RandomAccessFile.length(),6.267286042281768e-23,1.355648823410138e-12,,,,
org.apache.pdfbox.pdfparser.PDFXRefStream.getStream(),org.apache.pdfbox.pdfparser.PDFXRefStream.getStream(),4.277384318643545e-09,2.8472776801463026e-07,224,280,0.000644354111673891,0.00015430647219020796
org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream(),org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream(),9.354964784864375e-10,3.0437708223227067e-09,94,,0.00047747652429910343,
org.apache.pdfbox.pdfwriter.COSWriter.visitFromStream(COSStream),org.apache.pdfbox.pdfwriter.COSWriter.visitFromStream(COSStream),3.449521145216565e-06,7.867535962143559e-06,218,33,0.0006691635868848998,0.00036146334014876166
"org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(FileInputStream, OutputStream)",org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(OutputStream),4.4487300461581003e-07,1.3438966186318514e-05,26,,1.1255629963858066e-05,
org.apache.pdfbox.pdmodel.PDDocument.importPage(PDPage),org.apache.pdfbox.pdmodel.PDDocument.importPage(PDPage),3.2395836006090044e-15,3.277700883791873e-07,,35,,5.627607091622368e-05
org.apache.pdfbox.pdmodel.common.PDStream.createOutputStream(),org.apache.pdfbox.pdmodel.common.PDStream.createOutputStream(),4.4858747163748026e-08,8.859134053490418e-09,,,,
org.apache.pdfbox.pdmodel.common.PDStream.addCompression(),org.apache.pdfbox.pdmodel.common.PDStream.addCompression(),5.479192427158764e-08,2.915451107578476e-11,,,,
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),4.796344175366894e-06,4.105968449377263e-05,1,24,4.796344175366894e-06,0.00029307115401953156
"org.apache.pdfbox.pdmodel.common.PDStream.PDStream(PDDocument, InputStream)","org.apache.pdfbox.pdmodel.common.PDStream.PDStream(PDDocument, InputStream)",1.8620527284808484e-10,3.6316247663389373e-09,,,,
org.apache.pdfbox.pdmodel.common.function.PDFunctionType4.PDFunctionType4(COSBase),org.apache.pdfbox.pdmodel.common.function.PDFunctionType4.PDFunctionType4(COSBase),1.599078255795758e-07,4.4806603990910805e-08,5,,4.4205720785728344e-08,
"org.apache.pdfbox.pdmodel.encryption.SecurityHandler.encryptStream(COSStream, long, long)","org.apache.pdfbox.pdmodel.encryption.SecurityHandler.encryptStream(COSStream, long, int)",5.930268961608269e-11,7.616257287894917e-05,,13,,0.00019429298516997646
"org.apache.pdfbox.pdmodel.encryption.SecurityHandler.decryptStream(COSStream, long, long)","org.apache.pdfbox.pdmodel.encryption.SecurityHandler.decryptStream(COSStream, long, long)",1.6972879107711138e-10,5.980727125877181e-05,,44,,9.048071850097004e-05
org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(COSDictionary),org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(COSDictionary),2.1248406372126993e-05,2.9337597029391993e-05,18,47,9.153568826464989e-06,3.363027539123832e-05
org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.getLookupData(),org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.getLookupData(),5.1166840232211766e-08,4.047937689961406e-09,28,32,2.4890786497723676e-05,6.178923476113437e-06
"org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.configureOutputProfile(PDDocument, InputStream)","org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.configureOutputProfile(PDDocument, InputStream)",3.152647507121629e-08,1.7208496915824455e-09,62,,6.105630729008944e-08,
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getAlternateIcon(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getAlternateIcon(),3.866842839410366e-11,1.475837116249654e-12,114,,2.2254788886873436e-07,
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getRolloverIcon(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getRolloverIcon(),7.733677891844761e-11,1.475837116249654e-12,114,,2.2254788886873436e-07,
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getNormalIcon(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getNormalIcon(),7.733677891844761e-11,1.475837116249654e-12,114,,2.2254788886873436e-07,
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceStream.PDAppearanceStream(COSStream),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceStream.PDAppearanceStream(COSStream),4.736467230551246e-09,2.211113209336063e-08,,,,
org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(),0.0006070608590821494,0.00013626410116249102,74,71,0.0009417465741696269,0.00010579398290598777
org.apache.pdfbox.pdfparser.BaseParser.readExpectedString(String),"org.apache.pdfbox.pdfparser.BaseParser.readExpectedString(char[], boolean)",1.4450928634427199e-09,1.4625136194104905e-06,22,36,0.0030523784345183273,0.00023284318328279779
org.apache.pdfbox.pdfparser.BaseParser.parseBoolean(),org.apache.pdfbox.pdfparser.BaseParser.parseBoolean(),2.426108001259649e-16,5.963906222622865e-12,,22,,0.0002965374895964861
org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(),0.0003290554985478764,0.00021514710100122922,200,156,0.00034804287755814764,0.00021566834916006894
org.apache.pdfbox.pdfparser.BaseParser.readInt(),org.apache.pdfbox.pdfparser.BaseParser.readInt(),3.249026711678724e-06,9.452705525031485e-07,19,23,0.002896782104379206,0.00034113222093077363
org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(),org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(),2.02666629280325e-05,3.2684595093212543e-06,23,22,0.003010772355019523,0.00030729539025247304
org.apache.pdfbox.pdfparser.BaseParser.readString(),org.apache.pdfbox.pdfparser.BaseParser.readString(),0.00019524855854342258,4.2006933245429175e-05,28,38,0.002513808798816439,0.0002223608764737093
org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(),org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(),1.5918395515157007e-09,3.1386871515486784e-10,18,17,0.0029817525239888326,0.0003991022109470046
org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int),org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int),8.234623431625678e-06,3.941462917283452e-06,11,9,5.191628912752408e-05,3.4907177550826576e-05
org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(),org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(),0.002215373369209963,0.0012769736789798795,40,53,0.0017965195177923401,0.00016498555785349143
org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(),3.9937842895838746e-05,3.956417343684342e-05,21,19,0.003194541152364429,0.0003557497768629941
org.apache.pdfbox.pdfparser.BaseParser.readLine(),org.apache.pdfbox.pdfparser.BaseParser.readLine(),6.030506355571888e-05,4.4934627474480775e-05,28,34,0.002435626003754051,0.00023443211707403395
org.apache.pdfbox.pdfparser.BaseParser.isEOL(),org.apache.pdfbox.pdfparser.BaseParser.isEOL(),2.269881490537583e-11,3.65628230556355e-17,,10,,0.00020442026407702479
org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(),org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(),0.004244775217739868,0.00040283795463754563,27,41,0.00260565884496018,0.00022059463938534668
org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(),0.0013835572038601834,0.000339953563816675,171,83,0.0004017558085381883,0.00012851750998817208
org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean),org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(),0.0004665941752293281,0.00030318686307208504,27,27,0.002565538593470351,0.0002647390961793405
org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(),0.00011710807379713154,0.000117154537124614,44,36,0.0015509627401533914,0.0002805495886089874
org.apache.pdfbox.pdfparser.BaseParser.readString(int),org.apache.pdfbox.pdfparser.BaseParser.readString(int),2.6313387350972935e-05,1.712757391722454e-11,29,19,0.0024282985230395303,0.000355645449364833
org.apache.pdfbox.pdfparser.BaseParser.readLong(),org.apache.pdfbox.pdfparser.BaseParser.readLong(),6.371338972876963e-06,2.28977707007306e-06,20,31,0.0027523121643562585,0.000255555969192996
"org.apache.pdfbox.pdfparser.PDFObjectStreamParser.PDFObjectStreamParser(COSStream, COSDocument)","org.apache.pdfbox.pdfparser.PDFObjectStreamParser.PDFObjectStreamParser(COSStream, COSDocument)",3.096235494251154e-10,9.749425768051267e-08,,24,,0.00029307115401953156
org.apache.pdfbox.pdfparser.PDFObjectStreamParser.parse(),org.apache.pdfbox.pdfparser.PDFObjectStreamParser.parse(),6.555022807921361e-06,6.445664100411397e-05,25,28,0.00023489516358669738,0.00025854576870726993
org.apache.pdfbox.pdfparser.PDFParser.PDFParser(InputStream),"org.apache.pdfbox.pdfparser.PDFParser.PDFParser(RandomAccessRead, String, InputStream, String)",4.577826333084602e-09,3.321888731786392e-12,,,,
org.apache.pdfbox.pdfparser.PDFParser.PDFParser(InputStream),"org.apache.pdfbox.pdfparser.PDFParser.PDFParser(RandomAccessRead, String, InputStream, String, ScratchFile)",4.577826333084602e-09,1.5208887770255394e-07,,6,,6.905480849124986e-08
org.apache.pdfbox.pdfparser.PDFParser.getPDDocument(),org.apache.pdfbox.pdfparser.PDFParser.getPDDocument(),5.667727789017234e-08,9.299839041501528e-09,,,,
org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(),org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(),0.0006469248855159336,3.4889421814217755e-05,30,38,0.0022757059721945226,0.00022197137407068082
org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(PDStream),org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(PDStream),2.096029555387918e-10,3.967707790924902e-12,3,,2.7150026875654535e-10,
org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(PDStream),org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(PDContentStream),2.096029555387918e-10,6.002275335391571e-07,3,2,2.7150026875654535e-10,3.1095991192488133e-07
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),0.04327694892506775,0.004244865682044433,180,152,0.00040310608276898993,8.92910410791334e-05
org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(COSStream),org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(COSStream),3.767772089233829e-09,2.3979206009569614e-12,,24,,0.00029307115401953156
"org.apache.pdfbox.pdfparser.PDFXrefStreamParser.PDFXrefStreamParser(COSStream, COSDocument, boolean, XrefTrailerResolver)","org.apache.pdfbox.pdfparser.PDFXrefStreamParser.PDFXrefStreamParser(COSStream, COSDocument, XrefTrailerResolver)",3.291458402189453e-08,1.8851807080048614e-07,,24,,0.00029307115401953156
org.apache.pdfbox.pdfparser.PDFXrefStreamParser.parse(),org.apache.pdfbox.pdfparser.PDFXrefStreamParser.parse(),9.128755446420107e-07,4.7383454982974785e-06,133,216,0.0007439241243767073,0.00020843641453629667
org.apache.pdfbox.preflight.parser.PreflightParser.checkPdfHeader(),org.apache.pdfbox.preflight.parser.PreflightParser.checkPdfHeader(),1.494904543155581e-07,2.679023889185239e-07,1,27,1.494904543155581e-07,9.234066887015443e-05
org.apache.pdfbox.preflight.parser.PreflightParser.nextIsEOL(),org.apache.pdfbox.preflight.parser.PreflightParser.nextIsEOL(),1.0152247903920894e-15,1.517482045468761e-06,,20,,4.20643234884992e-05
"org.apache.pdfbox.preflight.parser.PreflightParser.lastIndexOf(char[], byte[], int)","org.apache.pdfbox.preflight.parser.PreflightParser.lastIndexOf(char[], byte[], int)",5.6558915197807813e-11,1.2238002658510914e-09,,2,,1.449605192050137e-07
org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),1.3075535371976376e-15,1.3152453513692585e-05,,49,,0.00021922980052402216
"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)","org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(long, int, boolean)",6.438737817679973e-07,0.0002627376599084477,13,70,0.0001436111196875682,0.0001673709301322983
org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(boolean),org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(),7.521687425624535e-16,4.587400940311663e-07,4,34,0.011489729117376946,0.00025572171520258453
org.apache.pdfbox.preflight.parser.PreflightParser.checkStreamKeyWord(),org.apache.pdfbox.preflight.parser.PreflightParser.checkStreamKeyWord(),8.394487875775045e-16,5.042089890052598e-07,,38,,0.00017902887672023647
org.apache.pdfbox.preflight.parser.PreflightParser.checkEndstreamKeyWord(),org.apache.pdfbox.preflight.parser.PreflightParser.checkEndstreamKeyWord(),7.780075602869534e-16,6.028504745713416e-07,,36,,0.00018887891470524153
"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)","org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)",5.793257801371425e-09,4.7376626197648523e-07,,4,,9.262428056677849e-06
org.apache.pdfbox.cos.COSDocument.COSDocument(RandomAccess),org.apache.pdfbox.cos.COSDocument.COSDocument(),3.195684471537733e-08,1.4168645122694211e-05,2,3,0.00048397416245315745,3.261295237818665e-05
org.apache.pdfbox.pdmodel.PDDocument.load(URL),"org.apache.pdfbox.pdmodel.PDDocument.load(InputStream, String, MemoryUsageSetting)",1.9737849712800133e-18,1.6629590660581318e-08,3,,3.334874670431781e-05,
org.apache.pdfbox.pdmodel.PDDocument.PDDocument(COSDocument),org.apache.pdfbox.pdmodel.PDDocument.PDDocument(COSDocument),3.4065573414575255e-08,9.865496672915113e-09,,,,
org.apache.pdfbox.pdmodel.PDResources.getProperties(),org.apache.pdfbox.pdmodel.PDResources.getProperties(COSName),5.567142927486353e-10,1.3531308636481053e-11,31,,3.8934351853871355e-06,
org.apache.pdfbox.pdmodel.PDDocument.importPage(PDPage),org.apache.pdfbox.pdmodel.PDDocument.importPage(PDPage),3.2395836006090044e-15,3.277700883791873e-07,,35,,5.627607091622368e-05
org.apache.pdfbox.pdmodel.PDDocumentCatalog.getPages(),org.apache.pdfbox.pdmodel.PDDocumentCatalog.getPages(),5.500222778686419e-07,9.019611382310192e-08,98,153,0.0009894266991322539,0.00013598845007718884
org.apache.pdfbox.pdmodel.PDPage.getResources(),org.apache.pdfbox.pdmodel.PDPage.getResources(),1.8173867727827028e-07,6.73168932822074e-08,131,,0.0007400982258677011,
org.apache.pdfbox.pdmodel.PDResources.PDResources(),org.apache.pdfbox.pdmodel.PDResources.PDResources(),1.7479545438570144e-08,6.1674895901711054e-09,91,49,0.0004923997536888156,0.0001446965796495542
org.apache.pdfbox.pdmodel.PDResources.PDResources(COSDictionary),org.apache.pdfbox.pdmodel.PDResources.PDResources(COSDictionary),1.6661328642101827e-08,1.9590933993518423e-09,,,,
org.apache.pdfbox.pdmodel.PDResources.getProperties(),org.apache.pdfbox.pdmodel.PDResources.getProperties(COSName),5.567142927486353e-10,1.3531308636481053e-11,31,,3.8934351853871355e-06,
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDObjectReference.getReferencedObject(),org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDObjectReference.getReferencedObject(),2.3382200460909674e-08,4.128001879587698e-11,47,,2.001121645460913e-06,
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getAlternateIcon(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getAlternateIcon(),3.866842839410366e-11,1.475837116249654e-12,114,,2.2254788886873436e-07,
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getRolloverIcon(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getRolloverIcon(),7.733677891844761e-11,1.475837116249654e-12,114,,2.2254788886873436e-07,
