Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Ivy,IVY-13,keep order of resolvers like written in ivyconf.xml,Bug,Closed,Major,Cannot Reproduce,Xavier Hanin,Matthieu Brouillard,Matthieu Brouillard,1/7/2005 19:35,,9/29/2005 16:08,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","ivy should respect the order in which the resolvers are describe in ivyconf.xml
it seems that it uses the inverse order (use of LIFO instead of FIFO in source ?)",,,,,,,,2/2/2005 16:57,,,,"12 years, 24 weeks, 4 days ago",,139762,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193128,,,,,,,,0|i0xfdj:
Ivy,IVY-15,resolve problem on dependency of dependency,Bug,Closed,Major,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/12/2005 19:32,,9/29/2005 16:10,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC",resolve on customer-manager does not manage to resolve netbeans mdr...,,,,,,,,,,,,"12 years, 27 weeks, 4 days ago",,139764,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192805,,,,,,,,0|i0xddr:
Ivy,IVY-16,NullPointerException in ivy:publish task,Bug,Closed,Major,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/16/2005 17:23,,9/29/2005 16:10,11/26/2006 7:02,unspecified,,Ant,17-Nov-06,0,0,,,,,,,,"Operating System: Linux
Platform: PC","reported by jpalka@mrt-system.pl

I get NullPointerException in ivy:publish task. I tried it with ant 15.1 and 1.6.2:

BUILD FAILED
java.lang.NullPointerException
at org.apache.tools.ant.util.FileUtils.resolveFile(FileUtils.java:486)
at org.apache.tools.ant.Project.resolveFile(Project.java:1377)
at fr.jayasoft.ivy.ant.IvyPublish.execute(IvyPublish.java:196)
at org.apache.tools.ant.Task.perform(Task.java:341)
at org.apache.tools.ant.Target.execute(Target.java:309)
at org.apache.tools.ant.Target.performTasks(Target.java:336)
at org.apache.tools.ant.Project.executeTarget(Project.java:1339)
at org.apache.tools.ant.Project.executeTargets(Project.java:1255)
at org.apache.tools.ant.Main.runBuild(Main.java:609)
at org.apache.tools.ant.Main.start(Main.java:196)
at org.apache.tools.ant.Main.main(Main.java:235)

Total time: 3 seconds
java.lang.NullPointerException
at org.apache.tools.ant.util.FileUtils.resolveFile(FileUtils.java:486)
at org.apache.tools.ant.Project.resolveFile(Project.java:1377)
at fr.jayasoft.ivy.ant.IvyPublish.execute(IvyPublish.java:196)
at org.apache.tools.ant.Task.perform(Task.java:341)
at org.apache.tools.ant.Target.execute(Target.java:309)
at org.apache.tools.ant.Target.performTasks(Target.java:336)
at org.apache.tools.ant.Project.executeTarget(Project.java:1339)
at org.apache.tools.ant.Project.executeTargets(Project.java:1255)
at org.apache.tools.ant.Main.runBuild(Main.java:609)
at org.apache.tools.ant.Main.start(Main.java:196)
at org.apache.tools.ant.Main.main(Main.java:235)


I'm running Mandrake 10 and Java .4.2_06-b03.",,,,,,,,,,,,"12 years, 27 weeks ago",,139765,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192466,,,,,,,,0|i0xbaf:
Ivy,IVY-17,add haltonfailure feature,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/18/2005 11:15,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Ant,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","resolve and retrieve tasks should offer the possibility to halt the build when
an error has been raised",,,,,,,,,,,,"12 years, 26 weeks, 5 days ago",,139766,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192984,,,,,,,,0|i0xehj:
Ivy,IVY-18,possibility to use different resolver for ivy files and for download,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/18/2005 11:17,,9/29/2005 16:14,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","It would be interesting to be able to configure ivy so that one resolver is used
for retrieving ivy file, and another for downloading. In particular, such a
feature would enable to store ivy files in a special repository and still use
ibiblio for jars.",,,,,,,,,,,,"12 years, 16 weeks, 2 days ago",,139767,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193059,,,,,,,,0|i0xey7:
Ivy,IVY-19,add the possibility to change root url in ibiblio resolver,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/18/2005 11:18,,9/29/2005 16:11,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","the ibiblio resolver could be more often used if we could at least configure the
root url (http://www.ibiblio.org/maven by default)",,,,,,,,,,,,"12 years, 24 weeks, 4 days ago",,139768,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193056,,,,,,,,0|i0xexj:
Ivy,IVY-20,transitive parameter in ivy files,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/18/2005 11:45,,9/29/2005 16:05,11/26/2006 7:02,unspecified,1.2,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","It would be interesting to configure a dependency saying that we do not need
transitive dependencies.",,,,,,,,7/7/2005 19:57,,,,"12 years, 2 weeks, 3 days ago",,139769,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192981,,,,,,,,0|i0xegv:
Ivy,IVY-21,transitive parameter in resolve,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/18/2005 11:47,,8/31/2006 8:33,11/26/2006 7:02,unspecified,1.4-RC1,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be interesting to configure the resolve so that it does not resolve
transitive dependencies at all.",,,,,,,,8/8/2006 12:06,,,,"10 years, 46 weeks, 4 days ago",,139770,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192959,,,,,,,,0|i0xebz:
Ivy,IVY-12,"bug with simple url resolver in http mode, when no ivy file is found",Bug,Closed,Major,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/25/2005 17:30,,9/29/2005 16:09,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","When using the SimpleURLResolver, it does not attempt to open the url before
considering it as ok... and if it is an http url, it does not check the response
code. Two problems to enable the ""ivy file is not required"" feature.",,,,,,,,,,,,"12 years, 25 weeks, 5 days ago",,139761,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192764,,,,,,,,0|i0xd4n:
Ivy,IVY-11,cache default value,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/26/2005 11:38,,9/29/2005 16:14,11/26/2006 7:02,unspecified,,Ant,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","the default path to cache is ivy-cache in the current dir. But the cache is more
useful when it is shared. Thus it would be better to put it by default in a user
home relative directory.",,,,,,,,,,,,"12 years, 24 weeks, 5 days ago",,139760,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193017,,,,,,,,0|i0xeov:
Ivy,IVY-22,dependencies graph,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,1/26/2005 12:16,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","generates a dependencies graph when all dependencies have been resolved, using
jgraph, yFiles or SVG",,,,,,,,,,,,"12 years, 14 weeks, 6 days ago",,139771,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192993,,,,,,,,0|i0xejj:
Ivy,IVY-23,extends resolution problem,Bug,Closed,Major,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,2/8/2005 15:19,,9/29/2005 16:10,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","when a configuration extends another, and if artifacts are published in the
second, then a module depending only on the first configuration will not get
artifacts published in the first one.",,,,,,,,,,,,"12 years, 23 weeks, 5 days ago",,139772,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192830,,,,,,,,0|i0xdjb:
Ivy,IVY-24,typedef not handled in ivyconf,Bug,Closed,Major,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,2/10/2005 19:05,,9/29/2005 16:10,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","The typedef feature in ivyconf.xml parsing is not properly handled: it does not
work at all",,,,,,,,,,,,"12 years, 23 weeks, 3 days ago",,139773,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192728,,,,,,,,0|i0xcwn:
Ivy,IVY-25,bad eviction of required artefacts,Bug,Closed,Major,Fixed,Xavier Hanin,Matthieu Brouillard,Matthieu Brouillard,4/1/2005 12:21,,9/29/2005 16:08,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","We have 3 modules : BasicModule, InterModule, MasterModule that declares the
following ivy confs.

BasicModule
conf : 
conf1 publishes bm-artefact1
conf2 publishes bm-artefact2

InterModule
conf :
default
dependency :
BasicModule : default->conf1

MasterModule
conf :
default
dependency :
BasicModule : default->conf2
InterModule : default->default

BasicModule is set to publish in local mode.

The resolve in MasterModule evicts then it's dependencies on InterModule as
required but then do not retreive bm-artefact1 that is required by InterModule.",,,,,,,,4/1/2005 13:52,,,,"12 years, 16 weeks, 1 day ago",,139774,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192770,,,,,,,,0|i0xd5z:
Ivy,IVY-26,display ivy version,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/1/2005 13:35,,9/29/2005 16:14,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC",it would be cool to display ivy version in a message...,,,,,,,,,,,,"12 years, 16 weeks, 2 days ago",,139775,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193008,,,,,,,,0|i0xemv:
Ivy,IVY-27,better download management,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/6/2005 11:45,,8/31/2006 8:14,11/26/2006 7:02,unspecified,1.4-RC1,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","Download management should be better handled, by taking into account interrupted
downloads, corrupted downloads, and even security issues...",,,,,,,,7/19/2006 19:59,,,,"10 years, 46 weeks, 4 days ago",,139776,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193011,,,,,,,,0|i0xenj:
Ivy,IVY-28,add license management,New Feature,Open,Minor,Unresolved,Unassigned,Xavier HANIN,Xavier HANIN,4/6/2005 11:51,,9/8/2008 10:07,,unspecified,,Core,17-Nov-06,0,0,,,,,,,IVY-893,"Operating System: Windows XP
Platform: PC","It would be really interesting to be able to generate a license report,
indicating which license is used by each dependency.",,,,,,,,4/25/2006 10:58,,,,"11 years, 12 weeks, 6 days ago",,139777,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,279417,,,,,,,,0|i1c7xz:
Ivy,IVY-29,add source and javadoc url info in ivy file,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/6/2005 11:53,,6/22/2005 18:39,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","It would be nice to have source and javadoc info (when public versions are
available) in the ivy file, so that IDE plugins could use it to integrate them.",,,,,,,,6/22/2005 18:39,,,,"12 years, 4 weeks, 4 days ago",,139778,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193038,,,,,,,,0|i0xetj:
Ivy,IVY-30,repository listing,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/6/2005 13:30,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be nice to add a feature on dependency resolvers to enable to list the
modules available. This feature would enable tools (such a GUI on ivy file) to
propose dependencies based what exists in repository.",,,,,,,,,,,,"12 years, 14 weeks, 5 days ago",,139779,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193029,,,,,,,,0|i0xerj:
Ivy,IVY-31,add default value to ivy.pub.revision,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/21/2005 13:24,,9/29/2005 16:11,11/26/2006 7:02,unspecified,,Ant,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","ivy.pub.revision is used as default for deliver task, but it has no default
value itself. A timestamp as default value would be nice.",,,,,,,,,,,,"12 years, 13 weeks, 3 days ago",,139780,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193014,,,,,,,,0|i0xeo7:
Ivy,IVY-32,add a way to keep revision 'as is' in the deliver,Improvement,Resolved,Minor,Duplicate,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/26/2005 17:55,,4/14/2006 12:49,11/26/2006 7:05,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","See http://www.jayasoft.fr/org/modules/newbb/reply.php?forum=8&topic_id=52 for
details",,,,,,,,4/14/2006 12:49,,,,"11 years, 14 weeks, 2 days ago",,139781,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192210,,,,,,,,0|i0x9pj:
Ivy,IVY-33,add syncing feature in retrieve,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/26/2005 18:04,,8/31/2006 8:25,11/26/2006 7:02,unspecified,1.4-RC1,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","add the possibility to ask to the retrieve to sync the destination pattern, i.e.
not only copy dependencies but also remove those not necessary any more.",,,,,,,,8/23/2005 9:52,,,,"10 years, 46 weeks, 4 days ago",,139782,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193076,,,,,,,,0|i0xf1z:
Ivy,IVY-34,rely on timestamp and not version for up to date checking,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/27/2005 17:24,,9/29/2005 16:11,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be interesting to have the possibility to rely on timestamp and not
version to know if an ivy file in cache is up to date or not.",,,,,,,,,,,,"12 years, 12 weeks, 4 days ago",,139783,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193078,,,,,,,,0|i0xf2f:
Ivy,IVY-35,reference existing resolver in resolver containers,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/29/2005 15:38,,1/23/2006 15:48,11/26/2006 7:02,unspecified,1.3-RC1,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be interesting to be able to do something like this in ivyconf.xml:
<resolver>

<ivyrep name=""ivyrep"">

<chain>

in this block, reference the ivyrep resolver created above

<chain>",,,,,,,,10/9/2005 8:04,,,,"11 years, 25 weeks, 6 days ago",,139784,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193026,,,,,,,,0|i0xeqv:
Ivy,IVY-36,open access to CVS server,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,4/29/2005 18:11,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","several users ask for an access to CVS. Maybe we could consider opening one. The
issues we have to face are mainly the common.xml which we don't want to open
source, and problem of security, may it would be better to have two separate cvs
repository.",,,,,,,,,,,,"12 years, 4 weeks, 6 days ago",,139785,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193072,,,,,,,,0|i0xf13:
Ivy,IVY-37,add more detailed message when an artifact is not found,Bug,Closed,Major,Cannot Reproduce,Xavier Hanin,Xavier HANIN,Xavier HANIN,5/2/2005 9:49,,9/29/2005 16:10,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","messages have been improved when ivy files are not found, but it seems that they
are still not very verbose when it's the artifact which is not found.",,,,,,,,,,,,"12 years, 11 weeks, 4 days ago",,139786,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193130,,,,,,,,0|i0xfdz:
Ivy,IVY-38,circular dependencies causes StackOverflowError,Bug,Closed,Major,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,5/4/2005 13:23,,9/29/2005 16:09,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC",,,,,,,,,,,,,"12 years, 11 weeks, 4 days ago",,139787,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192820,,,,,,,,0|i0xdh3:
